Date,ASIANPAINT,HDFCBANK,ITC,RELIANCE,TCS
2015-03-23 00:00:00+05:30,763.6823120117188,491.2242126464844,170.48123168945312,396.357421875,1097.2899169921875
2015-03-24 00:00:00+05:30,765.2819213867188,486.62957763671875,170.03863525390625,399.1819763183594,1086.4520263671875
2015-03-25 00:00:00+05:30,760.7653198242188,484.89495849609375,170.14276123046875,397.74615478515625,1079.0933837890625
2015-03-26 00:00:00+05:30,746.2745361328125,472.095703125,167.87767028808594,390.40228271484375,1053.6651611328125
2015-03-27 00:00:00+05:30,732.207275390625,475.70574951171875,165.326171875,382.11688232421875,1054.3778076171875
2015-03-30 00:00:00+05:30,759.7774047851562,486.1373596191406,170.55935668945312,381.669677734375,1075.069091796875
2015-03-31 00:00:00+05:30,763.4000244140625,479.4798889160156,169.6741485595703,388.8487854003906,1070.7918701171875
2015-04-01 00:00:00+05:30,773.1860961914062,484.4261169433594,173.11085510253906,393.5799865722656,1066.0543212890625
2015-04-06 00:00:00+05:30,775.8206176757812,483.81658935546875,177.56289672851562,388.2132873535156,1068.00439453125
2015-04-07 00:00:00+05:30,785.8889770507812,484.191650390625,177.35464477539062,392.07354736328125,1083.8104248046875
2015-04-08 00:00:00+05:30,796.8511352539062,485.50445556640625,180.2966766357422,407.6321716308594,1107.4571533203125
2015-04-09 00:00:00+05:30,802.7791748046875,495.13897705078125,180.76531982421875,421.3783874511719,1117.1634521484375
2015-04-10 00:00:00+05:30,808.7073974609375,488.8331604003906,180.5049591064453,425.73291015625,1112.634765625
2015-04-13 00:00:00+05:30,811.1536865234375,487.02813720703125,183.03041076660156,434.2772216796875,1113.369140625
2015-04-15 00:00:00+05:30,789.5116577148438,483.6759948730469,184.8268585205078,434.818603515625,1101.734375
2015-04-16 00:00:00+05:30,773.7035522460938,482.7382507324219,182.30142211914062,437.03118896484375,1082.8883056640625
2015-04-17 00:00:00+05:30,768.575439453125,477.3935241699219,183.21266174316406,436.3250427246094,1037.628173828125
2015-04-20 00:00:00+05:30,761.1888427734375,471.2283630371094,178.0315704345703,416.9296569824219,1018.3208618164062
